"Modelo","Clasificación Energética","Mínimo","Máximo","Mínimo","Máximo"
"Iveco S-WAY AS260S46Y/PS 1LNG Paso: 4800; Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco S-WAY AS260S46Y/PS 1LNG Paso: 5100; Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco S-WAY AS260S46Y/PS 1LNG Paso: 5700; Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco S-WAY AS260S46Y/PS 1LNG Paso: 6050; Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco S-WAY AS260S46Y/PS 2LNG Paso: 4200; Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco S-WAY AS260S46Y/PS 2LNG Paso: 4500; Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco S-WAY AS260S46Y/PS 2LNG Paso: 4800; Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco S-WAY AS260S46Y/PS 2LNG Paso: 5100; Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco S-WAY AS260S46Y/PS 2LNG Paso: 5700; Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco S-WAY AS260S46Y/PS 2LNG Paso: 6050; Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco S-WAY AS260S46Y/PS CLNG Paso: 4200; Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco S-WAY AS260S46Y/PS CLNG Paso: 4500; Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco S-WAY AS260S46Y/PS CLNG Paso: 4800; Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco S-WAY AS260S46Y/PS CLNG Paso: 5100; Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco S-WAY AS260S46Y/PS CLNG Paso: 5700; Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco S-WAY AS260S46Y/PS CLNG Paso: 6050; Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco S-WAY AS260S46Y/PS CNG Paso: 4200; Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco S-WAY AS260S46Y/PS CNG Paso: 4500; Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco S-WAY AS260S46Y/PS CNG Paso: 4800; Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco S-WAY AS260S46Y/PS CNG Paso: 5100; Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco S-WAY AS260S46Y/PS CNG Paso: 5700; Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco S-WAY AS260S46Y/PS CNG Paso: 6050; Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco S-WAY AS440S46T/FP 1LNG Paso: 3800; Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco S-WAY AS440S46T/FP 2LNG Paso: 3800; Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco S-WAY AS440S46T/FP CLNG Paso: 3800; Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco S-WAY AS440S46T/FP CNG Paso: 3800; Cambio Automatizado","","0,0","0,0","0,0","0,0"
